date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:55	123/123	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Aug%202019%2007:02:53%20GMT	http://themes.beesoft.it/robots.txt		(from )
12:32:55	7766/7766	---MCZ	200	added ('OK')	text/html	etag:W/%2257ed1b3c-1e56%22	http://themes.beesoft.it/dollistraut-fashion/	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/index.html	(from )
12:32:56	122540/122540	---MCZ	200	added ('OK')	text/css	etag:W/%2257dbff10-1deac%22	http://themes.beesoft.it/dollistraut-fashion/bootstrap/css/bootstrap.min.css	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/bootstrap/css/bootstrap.min.css	(from http://themes.beesoft.it/dollistraut-fashion/)
12:32:56	3642/3642	---MCZ	200	added ('OK')	text/css	etag:W/%2257ed1b40-e3a%22	http://themes.beesoft.it/dollistraut-fashion/js/slick/slick.css	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/js/slick/slick.css	(from http://themes.beesoft.it/dollistraut-fashion/)
12:32:56	4140/4140	---MCZ	200	added ('OK')	text/css	etag:W/%2257ed1b3e-102c%22	http://themes.beesoft.it/dollistraut-fashion/js/fancybox/jquery.fancybox.css	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/js/fancybox/jquery.fancybox.css	(from http://themes.beesoft.it/dollistraut-fashion/)
12:32:57	9413/9413	---MCZ	200	added ('OK')	text/css	etag:W/%2257ed1b42-24c5%22	http://themes.beesoft.it/dollistraut-fashion/scss/bee-ui.css	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/scss/bee-ui.css	(from http://themes.beesoft.it/dollistraut-fashion/)
12:32:57	32145/32145	---MCZ	200	added ('OK')	text/css	etag:W/%2257ed1b42-7d91%22	http://themes.beesoft.it/dollistraut-fashion/scss/style.css	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/scss/style.css	(from http://themes.beesoft.it/dollistraut-fashion/)
12:32:57	3835/3835	---M--	200	added ('OK')	image/png	etag:%2257dbff18-efb%22	http://themes.beesoft.it/dollistraut-fashion/images/logos/favicon.png	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/images/logos/favicon.png	(from http://themes.beesoft.it/dollistraut-fashion/)
12:32:57	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Aug%202019%2007:02:56%20GMT	http://themes.beesoft.it/dollistraut-fashion/bootstrap/fonts/glyphicons-halflings-regular.eot	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://themes.beesoft.it/dollistraut-fashion/bootstrap/css/bootstrap.min.css)
12:32:58	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Aug%202019%2007:02:56%20GMT	http://themes.beesoft.it/dollistraut-fashion/bootstrap/fonts/glyphicons-halflings-regular.eot?	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from http://themes.beesoft.it/dollistraut-fashion/bootstrap/css/bootstrap.min.css)
12:32:58	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Aug%202019%2007:02:56%20GMT	http://themes.beesoft.it/dollistraut-fashion/bootstrap/fonts/glyphicons-halflings-regular.woff2	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/bootstrap/fonts/glyphicons-halflings-regular.woff2	(from http://themes.beesoft.it/dollistraut-fashion/bootstrap/css/bootstrap.min.css)
12:32:58	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Aug%202019%2007:02:57%20GMT	http://themes.beesoft.it/dollistraut-fashion/bootstrap/fonts/glyphicons-halflings-regular.woff	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://themes.beesoft.it/dollistraut-fashion/bootstrap/css/bootstrap.min.css)
12:32:58	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Aug%202019%2007:02:57%20GMT	http://themes.beesoft.it/dollistraut-fashion/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://themes.beesoft.it/dollistraut-fashion/bootstrap/css/bootstrap.min.css)
12:32:59	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Aug%202019%2007:02:57%20GMT	http://themes.beesoft.it/dollistraut-fashion/bootstrap/fonts/glyphicons-halflings-regular.svg	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://themes.beesoft.it/dollistraut-fashion/bootstrap/css/bootstrap.min.css)
12:32:59	4178/4178	---M--	200	added ('OK')	image/gif	etag:%2257ed1b40-1052%22	http://themes.beesoft.it/dollistraut-fashion/js/slick/ajax-loader.gif	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/js/slick/ajax-loader.gif	(from http://themes.beesoft.it/dollistraut-fashion/js/slick/slick.css)
